id,年份,题号,题型,主考点,相关考点(背诵P/精讲P)
2016-15,2016,15,single,故意伤害罪,故意伤害罪=127/375 | 数罪并罚=67/232
2016-16,2016,16,single,数罪并罚,数罪并罚=67/232
2016-17,2016,17,single,抢劫罪,抢劫罪=140/424 | 管制=51/199
2016-18,2016,18,single,放纵制售伪劣商品犯罪行为罪,放纵制售伪劣商品犯罪行为罪=183/580 | 玩忽职守罪=180/571 | 滥用职权罪=180/569
2016-19,2016,19,single,爆炸罪,投放危险物质罪=94/280 | 故意杀人罪=126/370 | 爆炸罪=93/279
2016-20,2016,20,single,死刑缓期执行,死刑缓期执行=None/203 | 无期徒刑=52/201 | 重大立功=67/231 | 有期徒刑=52/201 | 立功=66/228 | 死刑=53/202 | 缓刑=70/236
2016-41,2016,41,multi,过失致人死亡罪,过失致人死亡罪=127/374 | 交通肇事罪=95/289 | 合同诈骗罪=122/362 | 诈骗罪=141/444
2016-42,2016,42,multi,侵犯著作权罪,侵犯著作权罪=120/358
2016-43,2016,43,multi,故意毁坏财物罪,故意毁坏财物罪=144/459 | 盗窃罪=141/436
2016-44,2016,44,multi,因果关系错误,因果关系错误=None/96 | 事实认识错误=None/91 | 手段错误=29/96 | 对象错误=29/94 | 客体错误=29/92 | 因果关系=18/54
2016-45,2016,45,multi,死刑缓期执行,死刑缓期执行=None/203 | 死刑=53/202
2017-1,2017,1,single,刑罚,刑罚=47/195
2017-2,2017,2,single,故意伤害罪,故意伤害罪=127/375 | 属地管辖=None/9 | 普遍管辖=None/21 | 属人管辖=9/20 | 保护管辖=9/21
2017-3,2017,3,single,以危险方法危害公共安全罪,以危险方法危害公共安全罪=94/282 | 妨害安全驾驶罪=97/298 | 危险驾驶罪=97/296 | 故意杀人罪=126/370 | 逃税罪=118/351 | 有期徒刑=52/201 | 拘役=52/200 | 罚金=54/204 | 管制=51/199
2017-4,2017,4,single,危害行为,危害行为=16/45 | 危害结果=17/51 | 因果关系=18/54
2017-5,2017,5,single,故意伤害罪,故意伤害罪=127/375 | 因果关系错误=None/96 | 事实认识错误=None/91 | 意外事件=27/84 | 手段错误=29/96 | 打击错误=29/94 | 对象错误=29/94 | 客体错误=29/92 | 犯罪构成=13/33 | 因果关系=18/54
2017-6,2017,6,single,共同犯罪,盗窃罪=141/436 | 犯罪故意=25/78 | 共同犯罪=37/139
2017-7,2017,7,single,累犯,累犯=62/218 | 罚金=54/204
2017-8,2017,8,single,防卫过当,防卫过当=30/107 | 正当防卫=29/101
2017-9,2017,9,single,剥夺政治权利,剥夺政治权利=55/208 | 无期徒刑=52/201 | 死刑=53/202
2017-10,2017,10,single,抢劫罪,抢劫罪=140/424 | 盗窃罪=141/436 | 特别自首=63/224 | 一般自首=63/226 | 坦白=66/221 | 立功=66/228 | 自首=62/221
2017-11,2017,11,single,限制加重原则,限制加重原则=69/234 | 无期徒刑=52/201 | 吸收原则=69/234 | 有期徒刑=52/201 | 并科原则=69/234 | 拘役=52/200 | 死刑=53/202 | 刑罚=47/195 | 管制=51/199
2017-12,2017,12,single,诈骗罪,诈骗罪=141/444
2017-13,2017,13,single,盗窃罪,信用卡诈骗罪=117/346 | 诈骗罪=141/444 | 盗窃罪=141/436
2017-14,2017,14,single,强奸罪,强奸罪=129/380
2017-15,2017,15,single,报复陷害罪,报复陷害罪=137/413 | 贪污罪=172/546 | 伪证罪=159/503 | 诽谤罪=136/None
2017-16,2017,16,single,抢劫罪,故意伤害罪=127/375 | 强奸罪=129/380 | 抢劫罪=140/424 | 数罪并罚=67/232 | 罪数=41/165
2017-17,2017,17,single,妨害公务罪,妨害公务罪=148/467 | 袭警罪=149/469 | 有期徒刑=52/201 | 拘役=52/200 | 管制=51/199
2017-18,2017,18,single,受贿罪,利用影响力受贿罪=175/561 | 受贿罪=174/554
2017-19,2017,19,single,保险诈骗罪,保险诈骗罪=117/349 | 故意杀人罪=126/370 | 诈骗罪=141/444 | 想象竞合犯=189/169 | 犯罪故意=25/78 | 连续犯=191/180 | 牵连犯=192/183 | 吸收犯=192/185
2017-20,2017,20,single,保险诈骗罪,保险诈骗罪=117/349 | 故意杀人罪=126/370 | 诈骗罪=141/444 | 数罪并罚=67/232 | 牵连犯=192/183
2017-41,2017,41,multi,刑法,
